team,venue,ParkFactor,wOBACon,xwOBACon,BACON,xBACON
Yankees,Yankee Stadium,100,99,103,96,101
White Sox,Rate Field,100,98,99,96,101
Twins,Target Field,102,105,98,100,104
Tigers,Comerica Park,98,97,98,98,99
Royals,Kauffman Stadium,102,99,104,102,101
Rockies,Coors Field,111,111,102,112,103
Reds,Great American Ball Park,105,106,99,96,100
Red Sox,Fenway Park,106,100,100,107,99
Rangers,Globe Life Field,99,99,100,100,99
Pirates,PNC Park,100,98,100,100,102
Phillies,Citizens Bank Park,100,101,100,100,101
Padres,Petco Park,98,98,99,97,99
Orioles,Oriole Park at Camden Yards,101,102,103,102,104
Nationals,Nationals Park,101,98,100,102,101
Mets,Citi Field,97,96,95,98,100
Marlins,loanDepot park,102,100,100,99,100
Mariners,T-Mobile Park,91,94,90,96,97
Guardians,Progressive Field,97,97,99,97,100
Giants,Oracle Park,96,96,92,97,97
Dodgers,Dodger Stadium,101,100,102,97,101
D-backs,Chase Field,103,102,100,102,106
Cubs,Wrigley Field,97,97,99,98,98
Cardinals,Busch Stadium,100,98,100,99,100
Brewers,American Family Field,96,98,99,96,99
Braves,Truist Park,100,100,103,100,103
Blue Jays,Rogers Centre,99,99,101,100,99
Astros,Daikin Park,101,101,99,101,100
Angels,Angel Stadium,101,102,100,100,98
